#P_AB   P_AC     delta*    P_AB    P_AC     delta
 0.796788 0.675216 0.0291141 0.796788 0.757385 0.0505423 

 0.796981 0.674902 0.029075 0.796981 0.757227 0.0504514 

 0.797174 0.674587 0.0290359 0.797174 0.75707 0.0503605 

 0.797367 0.674272 0.0289968 0.797367 0.756912 0.0502697 

 0.79756 0.673955 0.0289577 0.79756 0.756754 0.0501788 

 0.797753 0.673638 0.0289187 0.797753 0.756595 0.0500879 

 0.797946 0.67332 0.0288797 0.797946 0.756436 0.049997 

 0.798139 0.673001 0.0288408 0.798139 0.756277 0.0499061 

 0.798331 0.672681 0.0288019 0.798331 0.756117 0.0498152 

 0.798524 0.672361 0.028763 0.798524 0.755957 0.0497242 

 0.798717 0.67204 0.0287241 0.798717 0.755796 0.0496333 

 0.79891 0.671717 0.0286853 0.79891 0.755635 0.0495423 

 0.799103 0.671395 0.0286466 0.799103 0.755474 0.0494514 

 0.799296 0.671071 0.0286078 0.799296 0.755312 0.0493604 

 0.799489 0.670746 0.0285691 0.799489 0.75515 0.0492694 

 0.799682 0.670421 0.0285304 0.799682 0.754987 0.0491784 

 0.799875 0.670095 0.0284918 0.799875 0.754824 0.0490873 

 0.800067 0.669768 0.0284531 0.800067 0.75466 0.0489963 

 0.80026 0.66944 0.0284146 0.80026 0.754496 0.0489052 

 0.800453 0.669111 0.028376 0.800453 0.754332 0.0488142 

 0.800646 0.668782 0.0283375 0.800646 0.754167 0.0487231 

 0.800839 0.668451 0.028299 0.800839 0.754002 0.0486319 

 0.801032 0.66812 0.0282605 0.801032 0.753836 0.0485408 

 0.801225 0.667788 0.0282221 0.801225 0.75367 0.0484496 

 0.801418 0.667455 0.0281837 0.801418 0.753504 0.0483585 

 0.801611 0.667121 0.0281454 0.801611 0.753337 0.0482673 

 0.801803 0.666786 0.0281071 0.801803 0.75317 0.0481761 

 0.801996 0.666451 0.0280688 0.801996 0.753002 0.0480848 

 0.802189 0.666114 0.0280305 0.802189 0.752833 0.0479936 

 0.802382 0.665777 0.0279923 0.802382 0.752665 0.0479023 

 0.802575 0.665438 0.0279541 0.802575 0.752496 0.047811 

 0.802768 0.665099 0.0279159 0.802768 0.752326 0.0477196 

 0.802961 0.664759 0.0278778 0.802961 0.752156 0.0476283 

 0.803154 0.664418 0.0278397 0.803154 0.751985 0.0475369 

 0.803347 0.664076 0.0278016 0.803347 0.751814 0.0474455 

 0.803539 0.663733 0.0277636 0.803539 0.751643 0.047354 

 0.803732 0.663389 0.0277256 0.803732 0.751471 0.0472625 

 0.803925 0.663044 0.0276876 0.803925 0.751298 0.047171 

 0.804118 0.662698 0.0276497 0.804118 0.751125 0.0470795 

 0.804311 0.662352 0.0276118 0.804311 0.750952 0.046988 

 0.804504 0.662004 0.0275739 0.804504 0.750778 0.0468964 

 0.804697 0.661655 0.0275361 0.804697 0.750604 0.0468048 

 0.80489 0.661305 0.0274983 0.80489 0.750429 0.0467131 

 0.805083 0.660955 0.0274605 0.805083 0.750254 0.0466214 

 0.805275 0.660603 0.0274227 0.805275 0.750078 0.0465297 

 0.805468 0.660251 0.027385 0.805468 0.749902 0.0464379 

 0.805661 0.659897 0.0273473 0.805661 0.749725 0.0463462 

 0.805854 0.659542 0.0273097 0.805854 0.749548 0.0462543 

 0.806047 0.659187 0.027272 0.806047 0.74937 0.0461625 

 0.80624 0.65883 0.0272345 0.80624 0.749191 0.0460706 

 0.806433 0.658472 0.0271969 0.806433 0.749013 0.0459786 

 0.806626 0.658114 0.0271594 0.806626 0.748833 0.0458866 

 0.806818 0.657754 0.0271219 0.806818 0.748653 0.0457946 

 0.807011 0.657393 0.0270844 0.807011 0.748473 0.0457026 

 0.807204 0.657031 0.027047 0.807204 0.748292 0.0456105 

 0.807397 0.656668 0.0270096 0.807397 0.74811 0.0455183 

